DATE,Real_GDP,GDP_Growth,YoY_GDP_Growth,Growth_Percentile,YoY_Growth_Percentile,Annualized_GDP_Growth
1960-04-01,3498.246,-0.5383572810156778,,5.836575875486381,,-2.136101738867402
1960-07-01,3515.385,0.4899312398270572,,30.739299610894943,,1.9741740139009867
1960-10-01,3470.278,-1.283131150642114,,2.3346303501945527,,-5.0345813908305175
1961-01-01,3493.703,0.6750179668602918,-0.6675232238545603,43.96887159533074,7.086614173228346,2.727534058966108
1961-04-01,3553.021,1.6978546831256214,1.5657846818091237,88.32684824902724,20.47244094488189,6.96634744344915
1961-07-01,3621.252,1.9203657957552078,3.0115335873595495,92.21789883268482,50.0,7.90557784396706
1961-10-01,3692.289,1.961669610399941,6.397498989994466,93.77431906614785,94.48818897637796,8.080601627190841
1962-01-01,3758.147,1.7836631964615934,7.569160858836588,89.88326848249028,97.63779527559055,7.327820028651821
1962-04-01,3792.149,0.9047543909272315,6.730272632782075,61.86770428015564,95.66929133858267,3.6684293099806364
1962-07-01,3838.776,1.2295666652338832,6.0068727611334305,78.21011673151752,90.94488188976378,5.009722557999918
1962-10-01,3851.421,0.32940187184664627,4.3098468185995165,24.124513618677042,72.83464566929135,1.3241321315288213
1963-01-01,3893.482,1.0920904258454156,3.601109802250946,73.15175097276264,61.023622047244096,4.4404438133978985
1963-04-01,3937.183,1.122414332466426,3.824586006509767,74.31906614785993,63.77952755905512,4.5658133663065925
1963-07-01,4023.755,2.1988309915998316,4.818697418135365,95.71984435797665,81.88976377952756,9.089691220032137
1963-10-01,4050.147,0.6559047456915268,5.159809846807195,42.80155642023346,85.43307086614173,2.6495447009567963
1964-01-01,4135.553,2.108713584963695,6.217339646105979,95.3307392996109,93.30708661417323,8.705425195651229
1964-04-01,4180.592,1.0890683785215627,6.182313598326505,72.76264591439688,92.91338582677166,4.427955801337413
1964-07-01,4245.918,1.5626016602433346,5.521285465939152,84.43579766536965,88.58267716535433,6.398442216663258
1964-10-01,4259.046,0.30919108659188677,5.157812790498717,22.56809338521401,85.03937007874016,1.2425121265477124
1965-01-01,4362.111,2.4199081202691763,5.478300000024183,98.0544747081712,87.79527559055119,10.036692441445162
1965-04-01,4417.225,1.263470828688229,5.660274908434038,79.37743190661479,89.37007874015748,5.150474156186657
1965-07-01,4515.427,2.2231604683935924,6.347484807761239,96.10894941634241,94.09448818897637,9.19360798649067
1965-10-01,4619.458,2.303901712949852,8.46227065873435,97.66536964980544,98.81889763779527,9.539004422561748
1966-01-01,4731.888,2.433835311415322,8.477019498128314,98.44357976653697,99.21259842519686,10.096556375814881
1966-04-01,4748.046,0.3414704659112866,7.489340026826796,24.5136186770428,96.8503937007874,1.3728939284530783
1966-07-01,4788.254,0.8468325707038149,6.042108531485502,56.809338521400775,91.33858267716536,3.4306012353117366
1966-10-01,4827.537,0.8204034288907813,4.504402897482795,53.69649805447471,79.13385826771653,3.32221874862233
1967-01-01,4870.299,0.8857933144789998,2.925069232407873,60.70038910505836,46.8503937007874,3.5905296692495092
1967-04-01,4873.287,0.06135146938617275,2.637737713577337,13.229571984435799,38.582677165354326,0.2456318100974464
1967-07-01,4919.392,0.9460760263042101,2.7387436004856935,64.2023346303502,42.125984251968504,3.8383472150673725
